time,open,high,low,close,tick_volume,spread,real_volume
2015-09-09,1121.47,1125.33,1101.24,1107.65,99674,0,0
2015-09-10,1106.42,1114.92,1103.85,1110.65,100831,0,0
2015-09-11,1110.72,1112.83,1098.72,1107.69,87732,0,0
2015-09-14,1107.61,1110.44,1103.47,1108.92,68331,0,0
2015-09-15,1107.71,1109.33,1102.52,1104.99,60777,0,0
2015-09-16,1104.81,1124.12,1103.92,1119.4,93337,0,0
2015-09-17,1118.8,1135.07,1115.35,1131.27,101060,0,0
2015-09-18,1130.16,1141.67,1127.51,1138.08,112559,0,0
2015-09-21,1139.07,1139.87,1129.49,1133.26,65066,0,0
2015-09-22,1132.74,1136.57,1121.3,1124.66,83817,0,0
2015-09-23,1124.16,1134.24,1121.83,1130.03,73449,0,0
2015-09-24,1130.21,1156.64,1129.9,1153.79,93904,0,0
2015-09-25,1150.8,1151.34,1140.74,1144.25,76911,0,0
2015-09-28,1144.6,1148.15,1127.93,1131.74,74825,0,0
2015-09-29,1131.65,1134.68,1124.26,1127.28,76727,0,0
2015-09-30,1127.27,1128.08,1111.68,1114.82,87021,0,0
2015-10-01,1114.8,1119.13,1111.04,1113.39,54249,0,0
2015-10-02,1112.8,1141.19,1104.61,1138.17,54001,0,0
2015-10-05,1137.59,1141.95,1130.07,1135.54,43383,0,0
2015-10-06,1134.74,1151.13,1134.74,1147.02,37972,0,0
2015-10-07,1146.55,1153.57,1141.74,1145.37,38122,0,0
2015-10-08,1145.08,1151.2,1136.55,1138.86,44322,0,0
2015-10-09,1138.29,1159.58,1138.29,1155.66,46698,0,0
2015-10-12,1154.74,1168.92,1154.54,1163.58,36846,0,0
2015-10-13,1163.03,1168.61,1151.77,1168.59,45382,0,0
2015-10-14,1168.13,1189.7,1163.31,1184.36,53280,0,0
2015-10-15,1183.73,1191.57,1174.43,1183.01,55848,0,0
2015-10-16,1182.19,1184.32,1174.24,1176.77,47595,0,0
2015-10-19,1176.05,1178.27,1168.48,1170.63,38154,0,0
2015-10-20,1170.3,1180.82,1167.29,1175.89,35315,0,0
2015-10-21,1175.33,1179.17,1163.55,1167.01,35945,0,0
2015-10-22,1166.52,1171.69,1162.63,1165.59,37658,0,0
2015-10-23,1165.47,1179.3,1158.87,1164.22,46920,0,0
2015-10-26,1163.87,1169.67,1162.11,1162.81,31520,0,0
2015-10-27,1162.59,1168.75,1160.67,1166.72,27607,0,0
2015-10-28,1166.44,1182.83,1152.2,1155.96,44926,0,0
2015-10-29,1155.67,1162.6,1144.5,1145.82,47258,0,0
2015-10-30,1146.87,1149.94,1139.13,1140.05,28228,0,0
2015-11-02,1140.95,1142.86,1132.32,1133.26,22304,0,0
2015-11-03,1132.93,1138.2,1114.4,1117.59,38007,0,0
2015-11-04,1117.48,1122.75,1106.32,1107.73,42491,0,0
2015-11-05,1107.19,1111.39,1102.82,1103.69,39160,0,0
2015-11-06,1103.65,1110.34,1085.35,1089.12,36059,0,0
2015-11-09,1089.71,1095.68,1088.27,1092.16,28131,0,0
2015-11-10,1091.35,1095.24,1085.32,1089.53,32136,0,0
